Land-Ocean: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.35,-.51,-.23,-.30,-.06,-.16,-.18,-.25,-.22,-.31,-.41,-.40,-.28,***,***,-.20,-.20,-.31
1881,-.30,-.22,-.03,.01,.03,-.33,.08,-.04,-.27,-.44,-.37,-.24,-.18,-.19,-.30,.00,-.09,-.36
1882,.25,.20,.01,-.31,-.24,-.29,-.28,-.16,-.26,-.52,-.34,-.69,-.22,-.18,.07,-.18,-.24,-.37
1883,-.58,-.67,-.16,-.31,-.26,-.12,-.06,-.22,-.34,-.17,-.45,-.15,-.29,-.33,-.65,-.24,-.13,-.32
1884,-.17,-.11,-.65,-.60,-.36,-.42,-.45,-.51,-.45,-.44,-.58,-.48,-.43,-.41,-.15,-.54,-.46,-.49
1885,-1.01,-.45,-.24,-.49,-.58,-.45,-.34,-.41,-.40,-.37,-.38,-.11,-.44,-.47,-.64,-.44,-.40,-.38
1886,-.75,-.84,-.72,-.37,-.34,-.37,-.14,-.43,-.33,-.31,-.40,-.22,-.43,-.43,-.57,-.48,-.32,-.35
1887,-1.08,-.70,-.44,-.38,-.25,-.21,-.24,-.54,-.21,-.49,-.27,-.43,-.44,-.42,-.67,-.36,-.33,-.32
1888,-.49,-.61,-.64,-.21,-.15,-.03,.00,-.21,-.19,-.03,-.01,-.24,-.23,-.25,-.51,-.33,-.08,-.08
1889,-.28,.29,-.02,.16,-.04,-.07,-.08,-.20,-.30,-.42,-.62,-.55,-.18,-.15,-.08,.04,-.12,-.45
1890,-.63,-.57,-.47,-.25,-.36,-.16,-.23,-.39,-.35,-.10,-.63,-.47,-.38,-.39,-.58,-.36,-.26,-.36
1891,-.47,-.69,-.17,-.36,-.15,-.13,-.12,-.13,-.08,-.28,-.53,-.04,-.26,-.30,-.54,-.23,-.13,-.30
1892,-.50,-.16,-.67,-.45,-.24,-.06,-.38,-.33,-.20,-.28,-.82,-.66,-.40,-.35,-.23,-.45,-.26,-.44
1893,-1.52,-.98,-.32,-.30,-.43,-.19,-.14,-.34,-.29,-.28,-.34,-.61,-.48,-.48,-1.05,-.35,-.22,-.30
1894,-.92,-.42,-.22,-.54,-.26,-.41,-.20,-.26,-.32,-.28,-.47,-.35,-.39,-.41,-.65,-.34,-.29,-.36
