Land-Ocean: Southern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,.01,.04,.07,-.01,-.12,-.24,-.16,.08,-.04,-.13,.01,.07,-.03,***,***,-.02,-.11,-.05
1881,-.07,-.05,.11,.11,.10,-.04,-.06,-.01,-.03,.01,.01,.11,.01,.01,-.02,.10,-.04,.00
1882,.08,.08,.08,-.01,-.03,-.14,-.03,.02,-.03,.04,.00,-.06,.00,.01,.09,.02,-.05,.00
1883,-.01,-.07,-.08,-.06,-.09,-.01,-.07,-.04,-.09,-.05,-.03,-.05,-.05,-.06,-.05,-.07,-.04,-.06
1884,-.07,-.04,-.09,-.20,-.31,-.29,-.21,-.06,-.10,-.06,-.09,-.14,-.14,-.13,-.06,-.20,-.18,-.08
1885,-.19,-.22,-.29,-.35,-.32,-.42,-.33,-.22,-.18,-.12,-.10,-.08,-.23,-.24,-.18,-.32,-.32,-.13
1886,-.13,-.19,-.16,-.19,-.14,-.31,-.21,-.18,-.14,-.23,-.14,-.28,-.19,-.18,-.14,-.16,-.23,-.17
1887,-.36,-.43,-.26,-.30,-.34,-.27,-.26,-.16,-.29,-.21,-.24,-.22,-.28,-.28,-.35,-.30,-.23,-.25
1888,-.20,-.12,-.20,-.19,-.28,-.31,-.20,-.09,-.04,.07,.07,.15,-.11,-.14,-.18,-.23,-.20,.03
1889,.09,.04,.14,.04,.03,-.12,-.06,-.19,-.16,-.09,-.05,-.03,-.03,-.02,.09,.07,-.12,-.10
1890,-.20,-.31,-.32,-.34,-.42,-.32,-.31,-.38,-.37,-.38,-.24,-.15,-.31,-.30,-.18,-.36,-.34,-.33
1891,-.20,-.24,-.19,-.18,-.16,-.28,-.22,-.21,-.23,-.15,-.09,-.04,-.18,-.19,-.20,-.18,-.24,-.16
1892,-.08,-.05,-.13,-.21,-.22,-.37,-.25,-.21,-.12,.00,-.02,-.11,-.15,-.14,-.06,-.19,-.27,-.05
1893,-.11,-.16,-.11,-.23,-.23,-.31,-.13,-.16,-.16,-.08,-.02,-.02,-.14,-.15,-.13,-.19,-.20,-.08
1894,-.13,-.14,-.23,-.34,-.34,-.39,-.25,-.20,-.22,-.17,-.02,-.06,-.21,-.21,-.10,-.31,-.28,-.14
1895,-.11,-.04,-.15,-.23,-.23,-.20,-.13,-.05,-.17,-.11,-.19,-.04,-.14,-.14,-.07,-.20,-.13,-.16
1896,-.07,-.06,-.03,.00,-.14,-.28,-.04,.02,-.01,.09,.13,.13,-.02,-.04,-.06,-.06,-.10,.07
1897,.10,.08,.12,.01,-.15,-.16,-.07,-.11,-.09,-.09,-.09,-.11,-.04,-.02,.11,.00,-.11,-.09
1898,-.08,-.15,-.22,-.32,-.32,-.29,-.31,-.35,-.24,-.31,-.24,-.19,-.25,-.25,-.11,-.29,-.32,-.26
1899,-.19,-.12,-.13,-.17,-.20,-.26,-.14,-.09,-.04,-.11,-.08,-.05,-.13,-.14,-.16,-.16,-.16,-.07
1900,-.09,.04,-.04,-.07,-.12,-.08,-.12,-.07,-.06,-.01,.01,-.09,-.06,-.06,-.03,-.08,-.09,-.02
1901,-.10,-.12,-.14,-.14,-.17,-.24,-.28,-.23,-.16,-.25,-.12,-.13,-.17,-.17,-.10,-.15,-.25,-.18
1902,-.18,-.14,-.16,-.17,-.24,-.22,-.21,-.30,-.23,-.26,-.25,-.22,-.21,-.21,-.15,-.19,-.24,-.25
1903,-.23,-.22,-.29,-.35,-.35,-.38,-.26,-.35,-.50,-.47,-.43,-.45,-.36,-.34,-.22,-.33,-.33,-.46
1904,-.50,-.55,-.55,-.50,-.58,-.48,-.41,-.42,-.47,-.37,-.24,-.30,-.45,-.46,-.50,-.54,-.44,-.36
1905,-.26,-.33,-.18,-.19,-.27,-.26,-.29,-.15,-.16,-.19,-.19,-.06,-.21,-.23,-.30,-.21,-.23,-.18
1906,.04,-.02,-.15,-.13,-.25,-.26,-.17,-.21,-.31,-.21,-.33,-.31,-.19,-.17,-.02,-.17,-.21,-.28
1907,-.26,-.28,-.23,-.27,-.33,-.31,-.28,-.27,-.27,-.24,-.34,-.33,-.28,-.28,-.28,-.28,-.29,-.28
1908,-.33,-.37,-.38,-.39,-.44,-.46,-.33,-.34,-.39,-.42,-.40,-.42,-.39,-.38,-.34,-.41,-.38,-.40
1909,-.49,-.45,-.40,-.51,-.58,-.50,-.44,-.31,-.40,-.44,-.51,-.54,-.46,-.45,-.45,-.50,-.42,-.45
1910,-.48,-.44,-.52,-.43,-.37,-.31,-.29,-.32,-.33,-.49,-.52,-.51,-.42,-.42,-.49,-.44,-.31,-.45
1911,-.51,-.54,-.56,-.59,-.57,-.65,-.45,-.43,-.41,-.31,-.19,-.09,-.44,-.48,-.52,-.57,-.51,-.31
1912,-.12,-.10,-.13,-.16,-.27,-.31,-.30,-.28,-.33,-.28,-.23,-.27,-.23,-.22,-.10,-.19,-.30,-.28
1913,-.22,-.23,-.36,-.27,-.30,-.38,-.18,-.19,-.25,-.22,-.22,-.13,-.25,-.26,-.24,-.31,-.25,-.23
1914,-.06,-.07,-.10,-.17,-.20,-.26,-.11,-.03,-.01,-.03,-.05,.00,-.09,-.10,-.08,-.16,-.13,-.03
1915,-.11,.04,.07,.08,-.08,-.28,-.12,-.26,-.17,-.19,-.21,-.16,-.12,-.10,-.02,.02,-.22,-.19
1916,-.14,-.11,-.16,-.25,-.31,-.47,-.39,-.19,-.23,-.31,-.46,-.50,-.29,-.26,-.14,-.24,-.35,-.33
1917,-.62,-.58,-.52,-.45,-.37,-.38,-.17,-.05,-.14,-.25,-.34,-.27,-.34,-.36,-.56,-.45,-.20,-.24
1918,-.25,-.22,-.24,-.29,-.36,-.27,-.27,-.26,-.08,-.05,.03,.01,-.19,-.21,-.25,-.29,-.27,-.03
1919,.01,-.04,-.02,.00,-.12,-.31,-.24,-.37,-.30,-.30,-.33,-.27,-.19,-.17,-.01,-.05,-.31,-.31
1920,-.32,-.22,-.23,-.26,-.31,-.44,-.33,-.20,-.08,-.12,-.07,-.19,-.23,-.24,-.27,-.27,-.32,-.09
1921,-.27,-.26,-.35,-.42,-.34,-.37,-.25,-.21,-.18,-.04,-.15,-.20,-.25,-.25,-.24,-.37,-.28,-.13
1922,-.27,-.25,-.18,-.29,-.46,-.45,-.27,-.29,-.28,-.33,-.16,-.23,-.29,-.29,-.24,-.31,-.34,-.26
1923,-.37,-.31,-.28,-.28,-.28,-.34,-.32,-.37,-.43,-.31,-.18,-.16,-.30,-.31,-.30,-.28,-.34,-.31
1924,-.15,-.24,-.17,-.32,-.29,-.32,-.34,-.45,-.41,-.46,-.52,-.50,-.35,-.32,-.18,-.26,-.37,-.46
1925,-.49,-.42,-.32,-.34,-.35,-.38,-.26,-.20,-.33,-.23,-.10,-.07,-.29,-.33,-.47,-.34,-.28,-.22
1926,-.10,-.11,-.13,-.10,-.21,-.29,-.33,-.19,-.23,-.27,-.28,-.28,-.21,-.19,-.09,-.15,-.27,-.26
1927,-.24,-.27,-.29,-.34,-.37,-.40,-.28,-.31,-.27,-.24,-.18,-.25,-.29,-.29,-.26,-.33,-.33,-.23
1928,-.28,-.26,-.25,-.22,-.41,-.44,-.28,-.25,-.26,-.28,-.22,-.28,-.29,-.28,-.26,-.30,-.32,-.25
1929,-.33,-.35,-.46,-.47,-.47,-.47,-.37,-.44,-.30,-.25,-.18,-.41,-.37,-.36,-.32,-.47,-.43,-.24
1930,-.47,-.34,-.33,-.32,-.27,-.31,-.36,-.29,-.26,-.23,-.06,-.16,-.28,-.30,-.40,-.31,-.32,-.18
1931,-.18,-.15,-.12,-.22,-.22,-.30,-.14,-.16,-.29,-.25,-.36,-.19,-.22,-.21,-.16,-.19,-.20,-.30
1932,-.09,-.15,-.16,-.21,-.24,-.42,-.33,-.35,-.30,-.31,-.22,-.30,-.26,-.25,-.14,-.20,-.37,-.28
1933,-.27,-.28,-.27,-.31,-.32,-.37,-.30,-.33,-.31,-.33,-.38,-.35,-.32,-.31,-.29,-.30,-.33,-.34
1934,-.30,-.39,-.32,-.32,-.27,-.28,-.16,-.14,-.16,-.25,-.20,-.22,-.25,-.26,-.35,-.30,-.19,-.21
1935,-.27,-.30,-.32,-.38,-.29,-.39,-.38,-.37,-.34,-.21,-.18,-.16,-.30,-.30,-.26,-.33,-.38,-.25
1936,-.26,-.24,-.29,-.33,-.31,-.47,-.28,-.28,-.24,-.12,-.12,-.17,-.26,-.26,-.22,-.31,-.35,-.16
1937,-.23,-.18,-.18,-.25,-.23,-.24,-.21,-.12,-.10,-.16,-.07,-.14,-.18,-.18,-.19,-.22,-.19,-.11
1938,-.19,-.22,-.16,-.20,-.23,-.29,-.18,-.21,-.16,-.05,-.17,-.14,-.18,-.18,-.18,-.20,-.23,-.13
1939,-.14,-.13,-.12,-.12,-.10,-.14,-.15,-.18,-.27,-.15,-.10,.10,-.13,-.14,-.14,-.11,-.16,-.17
1940,.12,.04,.16,.08,.07,.07,.10,.08,.07,-.04,.06,.30,.09,.08,.08,.11,.08,.03
1941,.21,.17,.10,.22,.13,.08,.21,.13,-.03,.23,.29,.26,.17,.17,.22,.15,.14,.16
1942,.19,.14,.12,.10,.06,.00,.00,.00,-.17,-.25,-.08,-.04,.01,.03,.20,.09,.00,-.17
1943,.07,-.04,-.08,-.10,-.10,-.04,.18,-.08,-.04,.00,.03,.08,-.01,-.02,.00,-.09,.02,.00
1944,.08,.05,.21,.21,.14,.16,.23,.22,.20,.08,.03,.09,.14,.14,.07,.19,.20,.11
1945,.10,.08,.03,.10,.04,-.06,.02,.24,.21,.13,.08,.09,.09,.09,.09,.06,.07,.14
1946,-.03,-.03,-.08,-.20,-.17,-.38,-.21,-.31,-.13,-.18,-.18,-.15,-.17,-.15,.01,-.15,-.30,-.16
1947,-.08,-.12,-.16,-.11,-.09,-.04,-.05,-.10,-.24,-.27,-.15,-.22,-.14,-.13,-.12,-.12,-.06,-.22
1948,-.18,-.14,-.21,-.21,-.18,-.16,-.23,-.26,-.27,-.19,-.28,-.08,-.20,-.21,-.18,-.20,-.22,-.24
1949,-.10,-.19,-.08,-.19,-.20,-.35,-.15,-.21,-.20,-.21,-.25,-.23,-.20,-.19,-.13,-.16,-.24,-.22
1950,-.24,-.27,-.22,-.21,-.19,-.06,-.01,-.13,-.15,-.35,-.35,-.32,-.21,-.20,-.25,-.21,-.07,-.29
1951,-.33,-.32,-.22,-.35,-.18,-.12,-.09,-.10,-.21,-.11,-.08,-.06,-.18,-.20,-.33,-.25,-.10,-.13
